Component ID,Component Type,Deployment Area,Longitude,Latitude,Point1,Point2,Distance (km),Road Geometric,,,,,,,DISTANCE_MULTIPLIER,1,,,
ABERDEEN-HONGKONG,Path,,,,ABERDEEN,HONGKONG,4.03,[],102.5,65,106,63,,,,,,,
HONGKONG-NIMROD,Path,,,,HONGKONG,NIMROD,3.91,[],106,63,109,60.5,,,,,,,
CAESAR-HONGKONG,Path,,,,CAESAR,HONGKONG,12.35,[],112.5,73.5,106,63,,,,,,,
NIMROD-HONGKONG,Path,,,,NIMROD,HONGKONG,3.91,[],109,60.5,106,63,,,,,,,
CAESAR-PETTICOT,Path,,,,CAESAR,PETTICOT,12.21,[],112.5,73.5,122.5,66.5,,,,,,,
NIMROD-PETTICOT,Path,,,,NIMROD,PETTICOT,14.77,[],109,60.5,122.5,66.5,,,,,,,
MELODY-YAOHAN,Path,,,,MELODY,YAOHAN,5.83,[],121,80.5,124,75.5,,,,,,,
YAOHAN-REGATA,Path,,,,YAOHAN,REGATA,4.50,[],124,75.5,124,71,,,,,,,
REGATA-PETTICOT,Path,,,,REGATA,PETTICOT,4.74,[],124,71,122.5,66.5,,,,,,,
CAESAR-YAOHAN,Path,,,,CAESAR,YAOHAN,11.67,[],112.5,73.5,124,75.5,,,,,,,
CAESAR-REGATA,Path,,,,CAESAR,REGATA,11.77,[],112.5,73.5,124,71,,,,,,,
REGATA-PETTICOT,Path,,,,REGATA,PETTICOT,4.74,[],124,71,122.5,66.5,,,,,,,
SPIKE-MELODY,Path,,,,SPIKE,MELODY,7.52,[],128.5,80,121,80.5,,,,,,,
SPIKE-METRO,Path,,,,SPIKE,METRO,7.00,[],128.5,80,128.5,73,,,,,,,
YAOHAN-METRO,Path,,,,YAOHAN,METRO,5.15,[],124,75.5,128.5,73,,,,,,,
METRO-REGATA,Path,,,,METRO,REGATA,4.92,[],128.5,73,124,71,,,,,,,
MELODY-CAMPGROWL,Path,,,,MELODY,CAMPGROWL,7.50,[],121,80.5,127,76,,,,,,,
YAOHAN-CAMPGROWL,Path,,,,YAOHAN,CAMPGROWL,3.04,[],124,75.5,127,76,,,,,,,
REGATA-CAMPGROWL,Path,,,,REGATA,CAMPGROWL,5.83,[],124,71,127,76,,,,,,,
METRO-CAMPGROWL,Path,,,,METRO,CAMPGROWL,3.35,[],128.5,73,127,76,,,,,,,
SPIKE-CAMPGROWL,Path,,,,SPIKE,CAMPGROWL,4.27,[],128.5,80,127,76,,,,,,,
MELODY-TIGERHILL,Path,,,,MELODY,TIGERHILL,9.19,[],121,80.5,127.5,74,,,,,,,
YAOHAN-TIGERHILL,Path,,,,YAOHAN,TIGERHILL,3.81,[],124,75.5,127.5,74,,,,,,,
REGATA-TIGERHILL,Path,,,,REGATA,TIGERHILL,4.61,[],124,71,127.5,74,,,,,,,
METRO-TIGERHILL,Path,,,,METRO,TIGERHILL,1.41,[],128.5,73,127.5,74,,,,,,,
SPIKE-TIGERHILL,Path,,,,SPIKE,TIGERHILL,6.08,[],128.5,80,127.5,74,,,,,,,
CARTIER-VERMONT,Path,,,,CARTIER,VERMONT,8.06,[],119.5,86,127.5,87,,,,,,,
SPIKE-VERMONT,Path,,,,SPIKE,VERMONT,7.07,[],128.5,80,127.5,87,,,,,,,
VERMONT-KENNEX,Path,,,,VERMONT,KENNEX,6.58,[],127.5,87,134,86,,,,,,,
SPIKE-KENNEX,Path,,,,SPIKE,KENNEX,8.14,[],128.5,80,134,86,,,,,,,
METRO-PEMBROKE,Path,,,,METRO,PEMBROKE,6.50,[],128.5,73,134.5,70.5,,,,,,,
PEMBROKE-BETTY,Path,,,,PEMBROKE,BETTY,6.96,[],134.5,70.5,137,64,,,,,,,
BETTY-PEARLY,Path,,,,BETTY,PEARLY,8.50,[],137,64,141,56.5,,,,,,,
PEARLY-PEGASUS,Path,,,,PEARLY,PEGASUS,11.24,[],141,56.5,145,67,,,,,,,
PEGASUS-BETTY,Path,,,,PEGASUS,BETTY,8.54,[],145,67,137,64,,,,,,,
PEMBROKE-PEGASUS,Path,,,,PEMBROKE,PEGASUS,11.07,[],134.5,70.5,145,67,,,,,,,
PEGASUS-WINSOR,Path,,,,PEGASUS,WINSOR,21.02,[],145,67,146,46,,,,,,,
WINSOR-TYRO,Path,,,,WINSOR,TYRO,32.56,[],146,46,148,78.5,,,,,,,
TYRO-MALITO,Path,,,,TYRO,MALITO,4.74,[],148,78.5,146.5,83,,,,,,,
MALITO-RASPUTIN,Path,,,,MALITO,RASPUTIN,7.81,[],146.5,83,140.5,88,,,,,,,
RASPUTIN-YARDLEY,Path,,,,RASPUTIN,YARDLEY,4.03,[],140.5,88,137,90,,,,,,,
KENNEX-YARDLEY,Path,,,,KENNEX,YARDLEY,5.00,[],134,86,137,90,,,,,,,
KENNEX-PALMBEACH,Path,,,,KENNEX,PALMBEACH,62.24,[],134,86,91,131,,,,,,,
LISTON-PALMBEACH,Path,,,,LISTON,PALMBEACH,53.20,[],131.5,96.5,91,131,,,,,,,
LILY-LISTON,Path,,,,LILY,LISTON,6.52,[],132,103,131.5,96.5,,,,,,,
MACBETH-LILY,Path,,,,MACBETH,LILY,5.15,[],136.5,100.5,132,103,,,,,,,
BIHAR-MACBETH,Path,,,,BIHAR,MACBETH,71.98,[],97.5,40,136.5,100.5,,,,,,,
NATO-BIHAR,Path,,,,NATO,BIHAR,69.11,[],140,94.5,97.5,40,,,,,,,
YARDLEY-NATO,Path,,,,YARDLEY,NATO,5.41,[],137,90,140,94.5,,,,,,,
MALITO-GOLAN,Path,,,,MALITO,GOLAN,6.71,[],146.5,83,152.5,80,,,,,,,
TYRO-GOLAN,Path,,,,TYRO,GOLAN,4.74,[],148,78.5,152.5,80,,,,,,,
WILSON-GOLAN,Path,,,,WILSON,GOLAN,6.71,[],158.5,83,152.5,80,,,,,,,
GOLAN-HITCHCOCK,Path,,,,GOLAN,HITCHCOCK,10.90,[],152.5,80,161.6,74,,,,,,,
LAWRENCE-HITCHCOCK,Path,,,,LAWRENCE,HITCHCOCK,12.03,[],162.5,62,161.6,74,,,,,,,
WILSON-HITCHCOCK,Path,,,,WILSON,HITCHCOCK,9.52,[],158.5,83,161.6,74,,,,,,,
FRANCIS-WILSON,Path,,,,FRANCIS,WILSON,8.08,[],161.5,90.5,158.5,83,,,,,,,
FRANCIS-KIM,Path,,,,FRANCIS,KIM,10.61,[],161.5,90.5,172,92,,,,,,,
CAALR1,HighRisk,,,,,,"[118, 90], [123.5,90], [23.5, 87.5], [118, 86.5]",,,,,,,,,,,,
CAALR2,HighRisk,,,,,,"[123.5, 88], [129.5, 88], [129.5, 80.5], 123.5, 80.5]",,,,,,,,,,,,
CAALR3,HighRisk,,,,,,"[129.5, 89], [134.5, 89], [134.5, 82], [129.5, 82]",,,,,,,,,,,,
