Component ID,Component Type,Deployment Area,Risky,Longitude,Latitude,Point1,Point2,Road Geometric,Lightning,WBGT,Visibility,,
E11,,,,156.25,87.45,,,,,,,,
E12,,,,156.8,85.8,,,,,,,,
E13,,,,157.4,84.95,,,,,,,,
E87,,,,145.95,85.05,,,,,,,,
E88,,,,146.75,84.75,,,,,,,,
E89,,,,147.5,83.8,,,,,,,,
E90,,,,148.95,83.45,,,,,,,,
E91,,,,150.2,83.4,,,,,,,,
E92,,,,151.7,84.1,,,,,,,,
E93,,,,151.95,83.05,,,,,,,,
E94,,,,152.9,82.7,,,,,,,,
E95,,,,152.85,81.4,,,,,,,,
SUNDRA-LESTER,Path,,Beginner,,,N123,N118,8.905054744,,111.42,110.48,115.68,102.66
LESTER-WINDY,Path,,Beginner,,,C106,C103,2.469817807,,117.31,99.59,116.41,97.29
WINDY-VERMONT,Path,,Beginner,,,C135,C115,11.28766583,,117.61,91.76,127.56,86.43
WINDY-CARTIER,Path,,Beginner,,,C135,C130,4.651849095,,117.61,91.76,118.75,87.25
CARTIER-SERPENTINE,Path,,Beginner,,,C94,C87,6.828440525,,119.25,85.4,113.55,81.64
CARTIER-MELODY,Path,,Beginner,,,C64,C62,3.368159735,,120.12,83.8,121.23,80.62
SERPENTINE-CABIN,Path,,Beginner,,,C66,E999,8.037524495,,113.07,81.52,106.5,76.89
PELICAN-CABIN,Path,,Beginner,,,C69,E999,2.50217905,,106.9,79.36,106.5,76.89
MELODY-SPIKE,Path,,Beginner,,,C91,C55,3.28975683,,122.81,79.93,126.05,80.5
MELODY-YAOHAN,Path,,Beginner,,,C59,S70,0.808022277,,121.64,79.06,122.12,78.41
YAOHAN-SPIKE,Path,,Beginner,,,S76,S4,3.721518507,,126.32,74.08,128.76,76.89
YAOHAN-REGATA,Path,,Beginner,,,S76,S50,4.115239969,,126.32,74.08,123.18,71.42
SPIKE-KENNEX,Path,,Beginner,,,C48,C43,3.765912904,,129.8,81.78,132.66,84.23
VERMONT-KENNEX,Path,,Beginner,,,C115,R60,4.514255199,,127.56,86.43,131.88,85.12
KENNEX-PALMBEACH,Path,,Beginner,,,C38,C121,5.208617859,,133.58,86.56,130.94,91.05
PALMBEACH-LISTON,Path,,Beginner,,,C121,C125,5.493860209,,130.94,91.05,131.33,96.53
LISTON-LILY,Path,,Beginner,,,C126,C129,4.029218286,,131.8,97.42,130.75,101.31
KENNEX-YARDLEY,Path,,Beginner,,,C34,C30,2.09995238,,135.17,87.75,136.94,88.88
YARDLEY-RASPUTIN,Path,,Beginner,,,C31,C32,0.802309167,,137.47,88.77,138.21,88.46
YARDLEY-NATO,Path,,Beginner,,,C28,C25,3.574758733,,137.36,90.38,138.66,93.71
NATO-WILSON,Path,,Hard,,,C26,E14,19.95645259,,140.4,94.78,157.22,84.04
RASPUTIN-MALITO,Path,,Beginner,,,E77,E76,1.133710721,,143.36,86.83,143.93,85.85
MALITO-GOLAN,Path,,Intermediate,,,E86,E96,9.748235738,,144.96,85.41,153.56,80.82
MALITO-GOLAN,Path,,Beginner,,,E67,E103,2.585884762,,148.4,80.91,150.68,79.69
MALITO-TYRO,Path,,Beginner,,,E66,E64,2.28035085,,148.04,80.41,148.08,78.13
TYRO-WINDSOR,Path,,Beginner,,,E64,E62,4.471520994,,148.08,78.13,145.84,74.26
TYRO-WINDSOR,Path,,Beginner,,,E50,E52,2.295386678,,148.76,77.6,147.04,76.08
TYRO-GOLAN,Path,,Beginner,,,E50,E49,1.425622671,,148.76,77.6,149.56,78.78
GOLAN-GOLAN,Path,,Beginner,,,E47,E37,5.046830689,,151.08,78.65,155.92,80.08
GOLAN-WILSON,Path,,Beginner,,,E35,E32,2.624823804,,155.44,81.21,156.48,83.62
N125-N123,Path,SUNDRA,Beginner,,,N125,N123,,,111.07,111.5,111.42,110.48
N118-N58,Path,LESTER,Beginner,,,N118,N58,,,115.68,102.66,116,101.76
N58-C1,Path,LESTER,Beginner,,,N58,C1,,,116,101.76,116.57,101.17
C1-C2,Path,LESTER,Beginner,,,C1,C2,,,116.57,101.17,116.84,100.17
C2-C106,Path,LESTER,Beginner,,,C2,C106,,,116.84,100.17,117.31,99.59
C103-C102,Path,WINDY,Beginner,,,C103,C102,,,116.41,97.29,115.72,96.35
C102-C101,Path,WINDY,Beginner,,,C102,C101,,,115.72,96.35,116.16,95.25
C101-C100,Path,WINDY,Beginner,,,C101,C100,,,116.16,95.25,116.22,94.17
C100-C136,Path,WINDY,Beginner,,,C100,C136,,,116.22,94.17,117.05,93.23
C136-C135,Path,WINDY,Beginner,,,C136,C135,,,117.05,93.23,117.61,91.76
